filename, language, Lua, Django txt, comment, blank, total
c:\Users\Gebruiker\Desktop\SM63\SuperDesigner63\conf.lua, Lua, 3, 0, 0, 2, 5
c:\Users\Gebruiker\Desktop\SM63\SuperDesigner63\dkjson.lua, Lua, 628, 0, 20, 67, 715
c:\Users\Gebruiker\Desktop\SM63\SuperDesigner63\item.lua, Lua, 263, 0, 0, 6, 269
c:\Users\Gebruiker\Desktop\SM63\SuperDesigner63\level.txt, Django txt, 0, 1, 0, 0, 1
c:\Users\Gebruiker\Desktop\SM63\SuperDesigner63\main.lua, Lua, 2515, 0, 41, 47, 2603
c:\Users\Gebruiker\Desktop\SM63\SuperDesigner63\tileSets.lua, Lua, 76, 0, 0, 2, 78
c:\Users\Gebruiker\Desktop\SM63\SuperDesigner63\uiWindow.lua, Lua, 824, 0, 17, 13, 854
c:\Users\Gebruiker\Desktop\SM63\SuperDesigner63\undo.lua, Lua, 130, 0, 0, 11, 141
c:\Users\Gebruiker\Desktop\SM63\SuperDesigner63\window.lua, Lua, 183, 0, 1, 8, 192
Total, -, 4622, 1, 79, 156, 4858